Time [s],Channel 6
10.224176000,1
10.224194000,0
10.224236000,1
10.224254000,0
10.224296000,1
10.224314000,0
10.224356000,1
10.224374000,0
10.224416000,1
10.224434000,0
10.224476000,1
10.224494000,0
10.224536000,1
10.224554000,0
10.224596000,1
10.224614000,0
10.224656000,1
10.224674000,0
10.224716000,1
10.224734000,0
10.224776000,1
10.224794000,0
10.224836000,1
10.224854000,0
10.224896000,1
10.224914000,0
10.224956000,1
10.224974000,0
10.225016000,1
10.225034000,0
10.225076000,1
10.225094000,0
10.225136000,1
10.225154000,0
10.225196000,1
10.225214000,0
10.225256000,1
10.225274000,0
10.225316000,1
10.225334000,0
10.225376000,1
10.225394000,0
10.225436000,1
10.225454000,0
10.225496000,1
10.225514000,0
10.225556000,1
10.225574000,0
10.225616000,1
10.225634000,0
10.225676000,1
10.225694000,0
10.225736000,1
10.225754000,0
10.225796000,1
10.225814000,0
10.225856000,1
10.225874000,0
10.225916000,1
10.225934000,0
10.225976000,1
10.225994000,0
10.226036000,1
10.226054000,0
10.226096000,1
10.226114000,0
10.226156000,1
10.226174000,0
10.226216000,1
10.226234000,0
10.226276000,1
10.226294000,0
10.226336000,1
10.226354000,0
10.226396000,1
10.226414000,0
10.226456000,1
10.226474000,0
10.226516000,1
10.226534000,0
10.226576000,1
10.226594000,0
10.226636000,1
10.226654000,0
10.226696000,1
10.226714000,0
10.226756000,1
10.226774000,0
10.226816000,1
10.226834000,0
10.226876000,1
10.226894000,0
10.226936000,1
10.226954000,0
10.226996000,1
10.227014000,0
10.227056000,1
10.227074000,0
10.227118000,1
10.227134000,0
10.227178000,1
10.227196000,0
10.227238000,1
10.227256000,0
10.227298000,1
10.227316000,0
10.227358000,1
10.227374000,0
10.227418000,1
10.227434000,0
10.227478000,1
10.227494000,0
10.227538000,1
10.227554000,0
10.227598000,1
10.227614000,0
10.227658000,1
10.227674000,0
10.227718000,1
10.227734000,0
10.227778000,1
10.227796000,0
10.227838000,1
10.227856000,0
10.227898000,1
10.227916000,0
10.227958000,1
10.227976000,0
10.228018000,1
10.228036000,0
10.228078000,1
10.228096000,0
10.228138000,1
10.228156000,0
10.228198000,1
10.228216000,0
10.228258000,1
10.228276000,0
10.228318000,1
10.228336000,0
10.228378000,1
10.228396000,0
10.228438000,1
10.228456000,0
10.228498000,1
10.228516000,0
10.228558000,1
10.228576000,0
10.228618000,1
10.228636000,0
10.228678000,1
10.228696000,0
10.228738000,1
10.228756000,0
10.228798000,1
10.228816000,0
10.228858000,1
10.228876000,0
10.228918000,1
10.228936000,0
10.228978000,1
10.228996000,0
10.229038000,1
10.229056000,0
10.229098000,1
10.229116000,0
10.229158000,1
10.229176000,0
10.229218000,1
10.229236000,0
10.229278000,1
10.229296000,0
10.229338000,1
10.229356000,0
10.229398000,1
10.229416000,0
10.229458000,1
10.229476000,0
10.229518000,1
10.229536000,0
10.229578000,1
10.229596000,0
10.229638000,1
10.229656000,0
10.229698000,1
10.229716000,0
10.229758000,1
10.229776000,0
10.229818000,1
10.229836000,0
10.229878000,1
10.229896000,0
10.229938000,1
10.229956000,0
10.229998000,1
10.230016000,0
10.230058000,1
10.230076000,0
10.230118000,1
10.230136000,0
10.230178000,1
10.230196000,0
10.230238000,1
10.230256000,0
10.230298000,1
10.230316000,0
10.230360000,1
10.230378000,0
10.230420000,1
10.230436000,0
10.230478000,1
10.230496000,0
10.230538000,1
10.230556000,0
10.230598000,1
10.230616000,0
10.230658000,1
10.230676000,0
10.230718000,1
10.230736000,0
10.230780000,1
10.230796000,0
10.230838000,1
10.230856000,0
10.230898000,1
10.230916000,0
10.230958000,1
10.230976000,0
10.231020000,1
10.231036000,0
10.231078000,1
10.231096000,0
10.231140000,1
10.231156000,0
10.231200000,1
10.231216000,0
10.231260000,1
10.231276000,0
10.231320000,1
10.231336000,0
10.231380000,1
10.231396000,0
10.231440000,1
10.231456000,0
10.231500000,1
10.231516000,0
10.231560000,1
10.231576000,0
10.231620000,1
10.231638000,0
10.231680000,1
10.231698000,0
10.231740000,1
10.231758000,0
10.231800000,1
10.231818000,0
10.231860000,1
10.231878000,0
10.231920000,1
10.231938000,0
10.231980000,1
10.231998000,0
10.232040000,1
10.232058000,0
10.232100000,1
10.232118000,0
